0.1510  -0.0050    0
0.1520  -0.0020    0
0.1520  -0.0020    0.0010
0.1510  -0.0020    0
0.1520  -0.0030    -0.0050
0.1510  -0.0050    -0.0050
0.1490  -0.0050    -0.0030
0.1520  -0.0030    -0.0050
0.1520  -0.0020    -0.0030
0.1510  -0.0020    -0.0020
0.1510  0    -0.0050
0.1490  0.0010    -0.0050
0.1480  0.0040    -0.0020
0.1460  0.0040    0.0040
0.1490  0.0070    0.0040
0.1420  0.0090    0.0070
0.1450  0.0120    0.0090
0.1430  0.0130    0.0130
0.1430  0.0160    0.0180
0.1400  0.0180    0.0190
0.1430  0.0210    0.0240
0.1400  0.0220    0.0280
0.1400  0.0260    0.0290
0.1400  0.0310    0.0340
0.1400  0.0310    0.0380
0.1400  0.0340    0.0430
0.1390  0.0370    0.0460
0.1390  0.0410    0.0500
0.1370  0.0430    0.0550
0.1360  0.0470    0.0580
0.1360  0.0500    0.0630
0.1340  0.0530    0.0660
0.1330  0.0550    0.0690
0.1330  0.0580    0.0740
0.1310  0.0610    0.0780
0.1310  0.0620    0.0810
0.1300  0.0660    0.0860
0.1290  0.0660    0.0900
0.1290  0.0710    0.0930
0.1260  0.0750    0.0960
0.1260  0.0770    0.0990
0.1240  0.0780    0.1030
0.1240  0.0810    0.1050
0.1230  0.0840    0.1090
0.1240  0.0870    0.1140
0.1210  0.0900    0.1150
0.1200  0.0920    0.1170
0.1200  0.0930    0.1200
0.1200  0.0950    0.1200
0.1200  0.0960    0.1240
0.1170  0.0960    0.1240
0.1150  0.0990    0.1240
0.1170  0.1030    0.1260
0.1140  0.1030    0.1290
0.1170  0.1050    0.1290
0.1140  0.1050    0.1270
0.1140  0.1090    0.1290
0.1140  0.1110    0.1290
0.1120  0.1090    0.1290
0.1120  0.1110    0.1300
0.1110  0.1120    0.1310
0.1110  0.1120    0.1300
0.1090  0.1120    0.1290
0.1080  0.1140    0.1310
0.1080  0.1140    0.1290
0.1080  0.1140    0.1290
0.1080  0.1140    0.1300
0.1060  0.1140    0.1290
0.1050  0.1150    0.1300
0.1050  0.1170    0.1290
0.1050  0.1170    0.1290
0.1050  0.1150    0.1260
0.1030  0.1150    0.1240
0.1030  0.1170    0.1240
0.1050  0.1170    0.1260
0.1050  0.1170    0.1200
0.1030  0.1140    0.1230
0.1030  0.1170    0.1200
0.1050  0.1170    0.1200
0.1020  0.1180    0.1180
0.1000  0.1170    0.1180
0.1020  0.1170    0.1150
0.1020  0.1170    0.1170
0.1020  0.1180    0.1140
0.1000  0.1170    0.1140
0.1020  0.1170    0.1120
0.0990  0.1150    0.1120
0.1020  0.1150    0.1090
0.1020  0.1170    0.1080
0.0990  0.1170    0.1080
0.1000  0.1170    0.1080
0.0990  0.1180    0.1060
0.1000  0.1170    0.1030
0.1000  0.1170    0.1030
0.1000  0.1170    0.1050
0.0990  0.1170    0.1020
0.1020  0.1170    0.1020
0.1020  0.1170    0.1000
0.1020  0.1150    0.1020
0.0990  0.1150    0.0990
0.0990  0.1150    0.0990
0.0990  0.1140    0.0990
0.0990  0.1120    0.0960
0.1000  0.1140    0.0930
0.0990  0.1120    0.0960
0.0990  0.1110    0.0930
0.0970  0.1120    0.0930
0.1020  0.1120    0.0960
0.0970  0.1110    0.0950
0.1000  0.1110    0.0930
0.1000  0.1110    0.0930
0.1000  0.1090    0.0930
0.0990  0.1080    0.0930
0.1000  0.1080    0.0930
0.0990  0.1080    0.0930
0.0990  0.1050    0.0930
0.1000  0.1050    0.0930
0.0990  0.1050    0.0930
0.1000  0.1050    0.0930
0.0990  0.1050    0.0930
0.0990  0.1050    0.0930
0.1000  0.1050    0.0930
0.0990  0.1030    0.0930
0.1000  0.1020    0.0930
0.1000  0.1030    0.0930
0.1000  0.1020    0.0950
0.0990  0.1020    0.0930
0.0990  0.0990    0.0930
0.0990  0.1000    0.0930
0.0990  0.0990    0.0930
0.1000  0.1000    0.0930
0.1020  0.0990    0.0930
0.0990  0.0990    0.0930
0.0990  0.0990    0.0920
0.1000  0.0990    0.0930
0.1000  0.0990    0.0930
0.0990  0.0990    0.0930
0.1000  0.0970    0.0930
0.0990  0.0960    0.0930
0.1000  0.0990    0.0930
0.1000  0.0990    0.0930
0.0990  0.0990    0.0950
0.0990  0.0990    0.0930
0.1000  0.0990    0.0930
