ref	ball_pos	gear_angle	motor_voltage	zero
0.700	-0.142	0.448	-1.052	0.000
0.700	-0.142	0.451	-1.045	0.000
0.700	-0.142	0.455	-1.035	0.000
0.700	-0.142	0.460	-1.025	0.000
0.700	-0.146	0.464	-1.014	0.000
0.700	-0.146	0.467	-1.007	0.000
0.700	-0.146	0.470	-1.000	0.000
0.700	-0.149	0.471	-0.997	0.000
0.700	-0.151	0.476	-0.986	0.000
0.700	-0.149	0.479	-0.979	0.000
0.700	-0.149	0.482	-0.973	0.000
0.700	-0.151	0.486	-0.962	0.000
0.700	-0.154	0.491	-0.952	0.000
0.700	-0.151	0.494	-0.945	0.000
0.700	-0.151	0.497	-0.938	0.000
0.700	-0.154	0.501	-0.927	0.000
0.700	-0.154	0.501	-0.927	0.000
0.700	-0.156	0.507	-0.913	0.000
0.700	-0.156	0.508	-0.910	0.000
0.700	-0.154	0.513	-0.900	0.000
0.700	-0.159	0.516	-0.893	0.000
0.700	-0.159	0.516	-0.893	0.000
0.700	-0.161	0.519	-0.886	0.000
0.700	-0.161	0.525	-0.872	0.000
0.700	-0.159	0.528	-0.865	0.000
0.700	-0.159	0.528	-0.865	0.000
0.700	-0.156	0.531	-0.858	0.000
0.700	-0.164	0.535	-0.847	0.000
0.700	-0.161	0.535	-0.847	0.000
0.700	-0.164	0.540	-0.837	0.000
0.700	-0.164	0.541	-0.834	0.000
0.700	-0.164	0.542	-0.830	0.000
0.700	-0.166	0.548	-0.816	0.000
0.700	-0.164	0.550	-0.813	0.000
0.700	-0.164	0.551	-0.809	0.000
0.700	-0.161	0.554	-0.802	0.000
0.700	-0.164	0.557	-0.795	0.000
0.700	-0.164	0.562	-0.785	0.000
0.700	-0.164	0.563	-0.781	0.000
0.700	-0.166	0.565	-0.778	0.000
0.700	-0.168	0.565	-0.778	0.000
0.700	-0.168	0.569	-0.768	0.000
0.700	-0.171	0.571	-0.764	0.000
0.700	-0.171	0.574	-0.757	0.000
0.700	-0.176	0.575	-0.754	0.000
0.700	-0.176	0.576	-0.750	0.000
