ref	ball_pos	gear_angle	motor_voltage	zero
0.700	4.363	0.112	-0.796	0.000
0.700	4.370	0.115	-0.793	0.000
0.700	4.365	0.118	-0.789	0.000
0.700	4.360	0.124	-0.783	0.000
0.700	4.363	0.127	-0.779	0.000
0.700	4.365	0.130	-0.776	0.000
0.700	4.363	0.134	-0.770	0.000
0.700	4.363	0.140	-0.763	0.000
0.700	4.363	0.140	-0.763	0.000
0.700	4.358	0.146	-0.756	0.000
0.700	4.365	0.149	-0.753	0.000
0.700	4.360	0.152	-0.750	0.000
0.700	4.360	0.155	-0.746	0.000
0.700	4.360	0.158	-0.743	0.000
0.700	4.360	0.163	-0.737	0.000
0.700	4.363	0.165	-0.734	0.000
0.700	4.363	0.171	-0.727	0.000
0.700	4.360	0.173	-0.725	0.000
0.700	4.363	0.176	-0.722	0.000
0.700	4.360	0.180	-0.717	0.000
0.700	4.363	0.183	-0.713	0.000
0.700	4.363	0.186	-0.710	0.000
0.700	4.363	0.188	-0.708	0.000
0.700	4.358	0.194	-0.701	0.000
0.700	4.360	0.194	-0.701	0.000
0.700	4.358	0.198	-0.696	0.000
0.700	4.360	0.202	-0.690	0.000
0.700	4.363	0.207	-0.685	0.000
0.700	4.360	0.210	-0.682	0.000
0.700	4.360	0.211	-0.680	0.000
0.700	4.360	0.217	-0.673	0.000
0.700	4.363	0.219	-0.671	0.000
0.700	4.360	0.220	-0.670	0.000
0.700	4.358	0.223	-0.666	0.000
0.700	4.360	0.226	-0.663	0.000
0.700	4.363	0.229	-0.659	0.000
0.700	4.360	0.233	-0.654	0.000
0.700	4.363	0.235	-0.652	0.000
0.700	4.360	0.239	-0.647	0.000
0.700	4.360	0.242	-0.644	0.000
0.700	4.360	0.245	-0.640	0.000
0.700	4.358	0.247	-0.638	0.000
0.700	4.358	0.253	-0.631	0.000
0.700	4.360	0.254	-0.630	0.000
0.700	4.360	0.259	-0.624	0.000
0.700	4.360	0.259	-0.624	0.000
0.700	4.363	0.263	-0.619	0.000
0.700	4.360	0.266	-0.616	0.000
0.700	4.360	0.267	-0.614	0.000
0.700	4.360	0.270	-0.611	0.000
0.700	4.358	0.273	-0.607	0.000
0.700	4.360	0.276	-0.604	0.000
0.700	4.358	0.278	-0.602	0.000
0.700	4.360	0.282	-0.597	0.000
0.700	4.355	0.285	-0.593	0.000
0.700	4.355	0.287	-0.591	0.000
0.700	4.360	0.290	-0.588	0.000
0.700	4.360	0.293	-0.585	0.000
0.700	4.355	0.294	-0.583	0.000
0.700	4.360	0.299	-0.578	0.000
0.700	4.355	0.301	-0.574	0.000
0.700	4.355	0.303	-0.572	0.000
0.700	4.360	0.304	-0.571	0.000
0.700	4.360	0.307	-0.567	0.000
0.700	4.358	0.312	-0.562	0.000
0.700	4.360	0.310	-0.564	0.000
0.700	4.360	0.316	-0.557	0.000
0.700	4.355	0.316	-0.557	0.000
0.700	4.355	0.321	-0.552	0.000
0.700	4.360	0.324	-0.548	0.000
0.700	4.360	0.325	-0.546	0.000
0.700	4.358	0.327	-0.545	0.000
0.700	4.353	0.328	-0.543	0.000
0.700	4.360	0.330	-0.541	0.000
0.700	4.355	0.334	-0.536	0.000
0.700	4.358	0.335	-0.534	0.000
0.700	4.355	0.337	-0.532	0.000
0.700	4.358	0.340	-0.529	0.000
0.700	4.360	0.343	-0.525	0.000
0.700	4.355	0.344	-0.524	0.000
0.700	4.355	0.346	-0.522	0.000
0.700	4.358	0.349	-0.519	0.000
0.700	4.355	0.350	-0.517	0.000
0.700	4.358	0.353	-0.513	0.000
0.700	4.355	0.356	-0.510	0.000
0.700	4.355	0.358	-0.508	0.000
0.700	4.358	0.359	-0.506	0.000
0.700	4.353	0.362	-0.503	0.000
0.700	4.360	0.364	-0.501	0.000
0.700	4.355	0.367	-0.498	0.000
0.700	4.353	0.368	-0.496	0.000
0.700	4.355	0.369	-0.494	0.000
0.700	4.355	0.374	-0.489	0.000
0.700	4.358	0.374	-0.489	0.000
0.700	4.358	0.375	-0.487	0.000
0.700	4.355	0.378	-0.484	0.000
0.700	4.355	0.381	-0.480	0.000
0.700	4.355	0.384	-0.477	0.000
0.700	4.360	0.384	-0.477	0.000
0.700	4.355	0.386	-0.475	0.000
